City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
214,Odweyne,SO,73.04,clear sky,9.4092,45.064,Eng Hiirey House
217,Acapulco,MX,79.09,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
224,Saint George,US,64.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
228,Mayo,US,60.19,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
229,Tuatapere,NZ,60.69,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
230,Gat,IL,73.4,broken clouds,31.61,34.7642,OlusHome
232,Mahebourg,MU,77.29,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
233,Harlingen,US,69.89,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
235,Shujaabad,PK,75.25,clear sky,29.8797,71.2931,Amir jewellery collection
238,Hualmay,PE,62.78,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
240,Vao,NC,71.71,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
241,Bandarbeyla,SO,79.16,clear sky,9.4942,50.8122,JABIR HOTEL
244,Mana,GF,77.99,overcast clouds,5.6592,-53.7767,LE SAMANA
247,Saint-Pierre,RE,72.57,light intensity drizzle rain,-21.3393,55.4781,Lindsey Hôtel
248,Naze,JP,76.12,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
249,Kahului,US,78.82,clear sky,20.8947,-156.47,Maui Seaside Hotel
250,Nanma,CN,65.21,broken clouds,36.1817,118.1583,GreenTree Inn Zibo Wuyuan County Lushan Road Express Hotel
251,Ventersburg,ZA,60.24,broken clouds,-28.0856,27.1381,Palms Guesthouse Ventersburg
252,Morondava,MG,72.3,scattered clouds,-20.2833,44.2833,La Case Bambou
254,Portland,US,67.6,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
256,Kango,GA,72.32,broken clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
258,Vila Franca Do Campo,PT,72.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
266,Panaba,MX,79.92,overcast clouds,21.2833,-88.2667,Hotel California
272,Havelock,US,71.94,overcast clouds,34.8791,-76.9013,Sherwood Motel
278,Jeremie,HT,78.26,broken clouds,18.65,-74.1167,Auberge’Inn
280,Tibati,CM,65.53,broken clouds,6.4667,12.6333,Tibati Hotel
281,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
284,Apartado,CO,74.93,heavy intensity rain,7.883,-76.6259,Towers100 Aparta Estudios
286,Buraydah,SA,66.65,few clouds,26.326,43.975,فندق راحة السلام
288,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
292,Seoul,KR,65.8,clear sky,37.5683,126.9778,Lotte Hotel Seoul
294,Nichinan,JP,72.55,scattered clouds,31.6,131.3667,Guest House Aki
295,Linhares,BR,68.95,scattered clouds,-19.3911,-40.0722,Hotel Conceição
301,Lagoa,PT,69.35,overcast clouds,39.05,-27.9833,Casa Das Faias
307,Presidencia Roque Saenz Pena,AR,69.31,clear sky,-26.7852,-60.4388,Hotel Aconcagua
309,Tautira,PF,71.62,very heavy rain,-17.7333,-149.15,Pension Oaoa
310,Maua,BR,67.35,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
312,Menongue,AO,63.18,broken clouds,-14.6585,17.691,Ritz Lauca
318,Mandurah,AU,70.16,clear sky,-32.55,115.7,Atrium Hotel Mandurah
319,Cairo,EG,71.71,mist,30.0626,31.2497,Grand Hotel
320,Te Anau,NZ,66.63,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
321,Polis,CY,60.62,clear sky,35.0367,32.4264,Marion
325,Dolores,AR,61.92,light rain,-36.3132,-57.6792,Apart Hotel - Arianos
327,Baracoa,CU,77.07,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
328,Bubaque,GW,79.32,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
329,Aguimes,ES,65.03,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
334,Yatou,CN,65.88,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
336,Mbeya,TZ,66.07,scattered clouds,-8.9,33.45,Leda Lodge
340,Almeirim,BR,74.61,moderate rain,-1.5233,-52.5817,Ricácio Hotel
341,Messina,IT,65.19,scattered clouds,38.1933,15.5497,Hotel Touring
356,Sao Filipe,CV,77.38,scattered clouds,14.8961,-24.4956,Hotel Xaguate
363,Diffa,NE,78.39,overcast clouds,13.3154,12.6113,ProDAF/Diffa
366,Saint-Leu,RE,71.96,moderate rain,-21.15,55.2833,La Caz Oceane
368,Plettenberg Bay,ZA,61.02,light rain,-34.0527,23.3716,Thanda Vista B&B
369,Manta,EC,73.18,broken clouds,-0.95,-80.7333,Balandra Hotel
372,Zhangzhou,CN,79.14,overcast clouds,24.5133,117.6556,Borrman Hotel Zhangzhou Bus Station Branch
375,Morro Bay,US,69.15,clear sky,35.3658,-120.8499,Inn at Morro Bay
379,Deoria,IN,79.88,clear sky,26.5047,83.7872,RAJSHREE INN
381,Columbia,US,64.42,mist,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
383,Rawson,AR,63.12,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
391,Mount Pleasant,US,72.0,mist,32.7941,-79.8626,Best Western Patriots Point
394,Oussouye,SN,74.23,broken clouds,12.485,-16.5469,Auberge du Routard
395,Sakakah,SA,60.37,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
396,Guozhen,CN,68.58,broken clouds,34.3659,107.359,Yucai Hotel
401,Ballina,AU,73.36,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
406,Riyadh,SA,71.74,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
407,Luoyang,CN,67.73,overcast clouds,34.6836,112.4536,易家国际青年旅舍
408,Los Llanos De Aridane,ES,64.15,few clouds,28.6585,-17.9182,Valle Aridane
412,Marawi,PH,76.64,scattered clouds,7.9986,124.2928,Derogongan Residence
415,Ponta Delgada,PT,72.32,broken clouds,37.7333,-25.6667,Vila Nova Hotel
416,Suzaka,JP,60.42,scattered clouds,36.65,138.3167,Kura
423,Ipora,BR,74.82,broken clouds,-16.4419,-51.1178,Oásis Motel
424,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
425,Itarema,BR,78.42,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
427,Shenjiamen,CN,67.86,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
432,Yenagoa,NG,74.84,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
439,Horsham,GB,60.03,moderate rain,51.064,-0.3272,Springfields Hotel
441,Maragogi,BR,73.96,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
443,Viseu,PT,60.85,overcast clouds,40.661,-7.9097,Montebelo Viseu Congress Hotel
451,Mbandaka,CD,71.26,light rain,0.0487,18.2603,Guest House Epervier
453,Sirsa,IN,79.61,clear sky,29.5333,75.0167,OYO 48542 Hotel Capital
