City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Daru,-9.0763,143.2092,84.72,72,99,10.18,PG,overcast clouds
80,Constitucion,-35.3333,-72.4167,54.19,78,9,12.26,CL,clear sky
81,Kodiak,57.79,-152.4072,35.01,65,15,1.59,US,few clouds
82,Bethel,41.3712,-73.414,51.03,87,40,0.0,US,scattered clouds
83,Lebu,-37.6167,-73.65,52.2,87,31,15.28,CL,scattered clouds
84,Masinigudi,11.5667,76.6667,77.67,69,89,5.06,IN,light rain
85,Moindou,-21.6924,165.677,82.35,66,11,12.82,NC,few clouds
86,Dikson,73.5069,80.5464,9.05,85,100,6.85,RU,overcast clouds
87,Touros,-5.1989,-35.4608,76.1,79,52,12.75,BR,broken clouds
88,Geraldton,-28.7667,114.6,77.13,25,0,11.5,AU,clear sky
89,Pangody,65.85,74.4859,27.95,97,100,10.67,RU,light snow
90,Kenai,60.5544,-151.2583,33.15,94,90,3.44,US,light snow
91,Hambantota,6.1241,81.1185,82.74,89,40,6.91,LK,scattered clouds
92,Karratha,-20.7377,116.8463,86.67,27,6,15.93,AU,clear sky
93,Yulara,-25.2406,130.9889,84.04,10,1,6.91,AU,clear sky
94,Cayenne,4.9333,-52.3333,81.09,84,0,1.01,GF,clear sky
95,Ahipara,-35.1667,173.1667,63.48,75,2,10.83,NZ,clear sky
96,Chokurdakh,70.6333,147.9167,-1.93,93,100,4.12,RU,overcast clouds
97,Narsaq,60.9167,-46.05,30.42,74,100,2.77,GL,overcast clouds
98,Port Elizabeth,-33.918,25.5701,65.1,94,0,3.44,ZA,clear sky
99,Bluff,-46.6,168.3333,58.95,79,26,6.08,NZ,scattered clouds
100,Pyapon,16.2833,95.6833,86.25,72,31,9.15,MM,scattered clouds
101,Mount Isa,-20.7333,139.5,85.77,51,75,12.66,AU,broken clouds
102,Isangel,-19.55,169.2667,78.37,81,42,10.56,VU,scattered clouds
103,Cap Malheureux,-19.9842,57.6142,77.49,82,12,5.99,MU,moderate rain
104,Vardo,70.3705,31.1107,35.8,91,100,15.97,NO,overcast clouds
105,Hilo,19.7297,-155.09,78.28,78,1,3.44,US,clear sky
106,Winslow,35.0242,-110.6974,48.38,49,1,3.44,US,clear sky
107,Susanville,40.4163,-120.653,43.81,74,3,1.77,US,clear sky
108,Katsuura,35.1333,140.3,66.24,51,88,22.1,JP,overcast clouds
109,Tambilil,5.9622,124.6697,86.09,71,77,5.1,PH,broken clouds
110,Ponta Do Sol,32.6667,-17.1,69.12,68,65,7.96,PT,broken clouds
111,Zhangye,38.9342,100.4517,58.05,18,3,3.11,CN,clear sky
112,Ancud,-41.8697,-73.8203,47.73,91,100,2.93,CL,overcast clouds
113,Pisco,-13.7,-76.2167,61.02,88,0,12.66,PE,clear sky
114,Camden,39.7835,-74.9663,56.62,88,68,1.99,US,broken clouds
115,Obihiro,42.9172,143.2044,58.41,64,6,13.47,JP,clear sky
116,Ilulissat,69.2167,-51.1,26.62,74,75,16.11,GL,light snow
117,Nikolskoye,59.7035,30.7861,53.02,88,100,11.61,RU,overcast clouds
118,Fukue,32.6881,128.8419,70.16,49,75,13.8,JP,broken clouds
119,Pangnirtung,66.1451,-65.7125,27.52,94,92,6.31,CA,overcast clouds
120,Eau Claire,44.8114,-91.4985,48.58,93,90,1.99,US,overcast clouds
121,Staunton,38.1496,-79.0717,56.12,78,90,1.01,US,overcast clouds
122,Puerto Ayora,-0.7393,-90.3518,67.55,97,93,5.01,EC,overcast clouds
123,Luderitz,-26.6481,15.1594,57.81,77,0,6.71,NA,clear sky
124,Toba Tek Singh,30.9743,72.4827,84.42,20,1,5.77,PK,clear sky
125,Nanortalik,60.1432,-45.2371,35.2,73,94,2.42,GL,overcast clouds
126,Erenhot,43.6475,111.9767,54.01,26,31,15.57,CN,scattered clouds
127,Kautokeino,69.0125,23.0412,30.99,99,99,8.43,NO,overcast clouds
128,Grand Gaube,-20.0064,57.6608,77.4,82,16,5.99,MU,moderate rain
129,Khatanga,71.9667,102.5,-14.28,99,89,6.38,RU,overcast clouds
130,Port Alfred,-33.5906,26.891,68.16,89,96,8.61,ZA,overcast clouds
131,Hobyo,5.3505,48.5268,80.71,64,27,10.16,SO,scattered clouds
132,Pasighat,28.0667,95.3333,81.52,44,0,3.76,IN,clear sky
133,Victoria,22.2855,114.1577,83.97,67,35,1.99,HK,scattered clouds
134,Port Hedland,-20.3167,118.5667,86.05,42,1,17.27,AU,clear sky
135,Tezu,27.9167,96.1667,81.14,35,0,2.91,IN,clear sky
136,Mocuba,-16.8392,36.9856,73.94,52,35,7.09,MZ,scattered clouds
137,Tondano,1.3038,124.9112,84.29,62,72,4.52,ID,broken clouds
138,Lapua,62.9693,23.0088,51.66,88,100,11.56,FI,overcast clouds
139,Castro,-24.7911,-50.0119,59.97,94,98,8.61,BR,overcast clouds
140,Cabra,37.4725,-4.4421,54.18,55,100,3.69,ES,overcast clouds
141,Viedma,-40.8135,-62.9967,73.06,38,100,9.98,AR,overcast clouds
142,Jumla,29.2747,82.1838,62.06,32,0,4.88,NP,clear sky
143,Pinega,64.7001,43.3936,24.94,92,100,11.39,RU,snow
144,Mae Sai,20.4335,99.8762,83.52,58,58,3.15,TH,broken clouds
145,Aksarka,66.5606,67.7975,20.35,92,100,21.39,RU,light snow
146,Pochutla,15.7432,-96.4661,79.83,89,87,3.02,MX,overcast clouds
147,Klaksvik,62.2266,-6.589,49.12,89,38,22.24,FO,scattered clouds
148,Vaini,-21.2,-175.2,78.96,83,75,9.22,TO,broken clouds
149,Veselynove,47.3567,31.2349,48.52,87,83,6.73,UA,broken clouds
150,Rabo De Peixe,37.8,-25.5833,71.11,88,75,23.02,PT,broken clouds
151,Lensk,60.7253,114.9278,22.77,72,100,13.78,RU,overcast clouds
152,Cabo San Lucas,22.8909,-109.9124,79.52,71,0,4.9,MX,clear sky
153,Belaya Gora,68.5333,146.4167,3.76,96,100,1.12,RU,overcast clouds
154,Cornwall,45.0181,-74.7281,42.85,87,1,3.44,CA,clear sky
155,Siedlce,52.1677,22.2901,48.22,80,49,9.46,PL,scattered clouds
156,Gao,16.6362,1.637,82.56,26,12,5.19,ML,few clouds
157,Burnie,-41.0667,145.9167,53.92,60,100,19.91,AU,overcast clouds
158,Sokolo,14.7328,-6.1219,82.09,51,97,5.77,ML,overcast clouds
159,Longyearbyen,78.2186,15.6401,19.24,79,99,8.05,SJ,overcast clouds
160,Arraial Do Cabo,-22.9661,-42.0278,70.77,92,100,13.47,BR,overcast clouds
161,Leirvik,59.7798,5.5005,55.51,94,75,19.57,NO,broken clouds
162,Khani,41.9563,42.9566,42.37,81,33,0.85,GE,scattered clouds
163,Yarim,14.298,44.3779,55.8,29,4,12.97,YE,clear sky
164,Washougal,45.5826,-122.3534,67.86,83,90,9.22,US,overcast clouds
165,Hamilton,39.1834,-84.5333,57.42,96,75,1.01,US,broken clouds
166,Maneadero,31.7167,-116.5667,71.15,40,0,4.12,MX,clear sky
167,Padang,-0.9492,100.3543,86.05,65,96,3.74,ID,overcast clouds
168,Chilca,-12.5211,-76.7372,64.62,91,97,6.93,PE,overcast clouds
169,Eregli,37.5133,34.0467,44.11,64,4,2.71,TR,clear sky
170,Olinda,-8.0089,-34.8553,80.33,69,40,10.36,BR,scattered clouds
171,Nome,64.5011,-165.4064,30.27,59,90,17.27,US,overcast clouds
172,Broome,42.2506,-75.833,50.5,82,1,1.01,US,clear sky
173,Quatre Cocos,-20.2078,57.7625,77.11,74,24,15.64,MU,light rain
174,Kamenka,51.3223,42.7678,44.51,87,92,10.31,RU,overcast clouds
175,Amapa,1.0,-52.0,70.18,99,75,1.32,BR,broken clouds
176,Cidreira,-30.1811,-50.2056,67.42,86,48,16.53,BR,scattered clouds
177,Inhambane,-23.865,35.3833,64.38,94,20,0.0,MZ,light rain
178,Maralal,1.0968,36.698,63.52,64,46,7.36,KE,scattered clouds
179,Bassano,50.7834,-112.4685,48.96,70,98,9.13,CA,overcast clouds
180,Alofi,-19.0595,-169.9187,78.69,65,39,16.11,NU,scattered clouds
181,Umea,63.8284,20.2597,42.91,100,75,2.3,SE,broken clouds
182,Avarua,-21.2078,-159.775,73.45,73,75,6.91,CK,broken clouds
183,Rosarito,32.3333,-117.0333,74.41,47,0,1.86,MX,clear sky
184,Luwuk,-0.9516,122.7875,87.75,63,86,4.47,ID,overcast clouds
185,Ushtobe,45.2514,77.9838,53.01,33,75,5.64,KZ,broken clouds
186,Marzuq,14.4,46.4667,71.55,28,6,1.9,YE,clear sky
187,Boulder City,35.9786,-114.8325,70.72,32,1,4.61,US,clear sky
188,Bathsheba,13.2167,-59.5167,79.41,73,20,10.36,BB,few clouds
189,Cherskiy,68.75,161.3,-10.61,90,66,3.11,RU,broken clouds
190,Kavieng,-2.5744,150.7967,84.85,70,77,4.63,PG,light rain
191,Saint-Augustin,51.226,-58.6502,34.93,65,0,5.64,CA,clear sky
192,Hurghada,27.2574,33.8129,69.84,30,0,0.0,EG,clear sky
193,Lompoc,34.6391,-120.4579,72.57,78,1,3.44,US,clear sky
194,Nouadhibou,20.931,-17.0347,67.98,73,27,14.97,MR,scattered clouds
195,Corn Island,12.1694,-83.0418,83.71,73,16,3.56,NI,few clouds
